Problem,Problem Name,DS,Algo,Solved ?,Big O ,Takeaways,Diffuculty,Date,Next Solve Date,Next Solve Date,Next Solve Date,Next Solve Date
88,Merge Sorted Arr,arr,2 pointers,N,,"This problem gives us 2 lists, nums1 num2, and 2 numbers, m,n. Nums1 has m , number of non zero elements, and num2 and n number of non zeros. M + N = Len(nums1) CRUCIAL. The two pointers we need to use are the pos of the last  non 0 element in both list. we can acomplish this by setting a variable to m-1 and n-1. By doing this we are using the pos of the last element. we are now going to iterate while the second variable we established >= 0.showing that we reached the last number we need to merge. in the while loop we first check if our first variable is >= 0 , showing we still have numbers in the first list to merge, and if nums1[a] >nums2[b]. by doing this we are seeing which numbers need to be places at the end of list. then deincriment a by 1. ELSE: our last pos, is going to be nums2[b] since that is the greater number. deincriment by 1 . once we done that we will always deincriement the final position. TO SUMMARIZE: we are checking both lists with 2 pointers, pointing at their non zero elements, we the larger number goes to the back of the list1, deicriement whichever pointer was larger, and the pos of back.",easy,8/3,,,,
118,Pascal Triangle,"Int,lists",Nested for loop,Y,," in this problem we are tasked to create n number of rows, in which each num is the direct sum of the two numbers above it. to start we have to create a list of lists , then we will append 1s to the amount of its level, 1 lists has one 1 , second list has 2 etc, etc. once that is created we then create another for loop, in range of (1,i) this leaves out the first and last nums since they are always going to be 1. we then create our variable which equals to the nums we have to update and equal that to the previous lists, j-1 and j. the second for loop will update all nums between 1 and i with the 2 values above it. ",easy,8/3,,,,
122,"Best Time to Buy and Sell Stock
 II",Array,Array Traversal,N,,"The probelm is an extension of buy sell stock I, with the diff being, you are able to buy and sell same day and return the max profit of array. The problem is solved by creating a running profit if the curr iteration is greater then the prev, if it is we add it, if not we move on. we do this with a for loop starting at index 1.",Medium,8/7,8/8 Y,,,
136,Single Number,Array / Dict,"List/Dict Trav, bitwise Ops",Y/N,,"Solved with dict, return value ==1 and bitwise op, using compare variable of 0 and ^= for each num, this results in the same two numbers canceling out, and leaving the unique number",Easy,8/7,,,,
1732,Find Highest Alt,lists,prefix sum,Y,,"Create another list of Alt, holding all possible positions. Since this new list, is len of og list +1 we create that amount of spaces of all 0s. we iterate through the len of gains, start at 1 to end of new list, and the index i of new list is the sum of gains up to i. Solved first try :)",Easy,8/7,,,,
628,max product of 3nums,array,slicing,Y,,"find max product of 3 nums. Started by sorting nums, we then return the product of the lowest 2 nums and highest 1 or the 3 highest.",Easy,8/7,,,,
268,missing num,array,num arthmatic ,N,,"the problem is asking us to find the missing num in nums from the range of len(nums) , ie list of 0,1,3. we have a len of 3, so the numbers we need are 0,1,2,3. we are missing the number 2. to solve this problem in o of n time, we can find the natural sum of the range of nums by multiplying len of nums to len(nums+1) dividing that by 2 and subtracting with the curr sum. this diff is going to be the missing num we need bc if we add the missing num to curr sum we should get the natural sum of all numbers",Easy,8/7,,,,
217,Contains Dupe,"array,dict,set","2 pointers, list trav,dict trav, set trav",Y,,"Few ways to solve, create set of unique through iteration and if we have number already in there, True. If any value greater than 1 , True , 2 Pointers, if we find 2 adj num in sorted nums, True ",Easy,8/11,,,,
414,3rd max num,array / set,Array Traversal,y,o(n),"only care about unique values so turn list into ordered set. in the new set, we check if the len is less than 3 meaning we dont have 3 numbers to compare, we return the max, if we do have 3 numbers to comapre are return the 3rd largest, since it is sorted, we return the index of -3 which is the 3 highest",easy,8/14,,,,
349,Intersection of two arrays,array/set,Array Traversal,y,o(n),"2 lists of nums. only need to return unique numbers in both list. we turn first list into a set, and iterate through 2nd list and compare it to the set of list 1 and append the number if it is in set into another set, to make sure we return only unique values",easy,8/14,,,,
350,Intersection of two arrays II,array dict,Array Traversal,y,o(n),"same as ^ except we return all of the same numbers, each time they appear. we make a dict of freq of list 1 and iterate throgu list 2 and we decrinriment the value if we find it num in nums2 in the dict and append that to a new list. we make sure the num in nums2 is in dict and the value is greayer than 0, and we deincriment to make sure we dont add values we not supposed to ",easy,8/14,,,,
189,rotate array,array manipulation,Array Traversal,N,,"we are given K number of steps to rotate array. We must find the module of k %= len(nums) first, bc if K is equal len of nums, then we just leave it as is, since it would rotate to start. then we reverse the entire array, and reverse the start:stop k on each side. ",Medium,8/15,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Deques / Stacks,,,,,,,,,,,,
20,Valid Paraenthesis,strings/stack/dict,string traversal,NO,,"the problem requires for the char to be open and closed, adjacent for it to be valid. () {} []. to start we create a dict where the key is the left char and value is its right. )(. then we create a empty stack to append the char to. the key to this problem is , the result can only be true if we start with open and end with close. so if char is in our in our dict, we check if the last element of stack is its opener. by doing this we will appened the opener first, bc it is not a key in our dict, then our next char has to be the value of the char in dict. RECAP: check if char is in dict, if not , append to stack, if its, we check "" if stack"" to see if is not empty, and if the last element of stack is the value of char in the dict aka the opener, if it is we pop stack, if not we return false. At the end we return not stack, bc if it is empty True, if not False ",easy,8/3,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
DYNAMIC PROGRAMMING,,,,,,,,,,,,
198,House Robber,List,sliding window / DP,NO :(,,"This problem was to check for the max amount of money you can steal from non adjacent houses. My intial approach was to check for even and odd but this was not needed. The solution i found was to add 3 0s to the start of list and each iteration of the list would incriment the 2or 3rd zero with the non-adjacent values, then we return max(harder than it sounds) ",Medium,8/2,,,,
53,Max SubArray,Array,Kadane Algo / DP,N,,"Kadane algo is the Max Sub Array Algo, in which we set our curr_sum and our max_sum to the first element of list. we then iterate through index1 to end of list, in this loop we update our curr_sum to the max of either our num or our curr_sum and our num. by doing this we are finding our max sum in each step. By doing this we can see if we have a greater total with 0-1 or just 1, and then we update our max sum with either our curr_sum or max_sum. the list the moves on to the next iteration, and checks if the previous curr_total is greater than the our curr interation, or curr_sum plus iteration. it updates the value of by adding the curr iteration, we find a greater sum, or we leave our curr sum to what it was. ",Medium,8/3,8/7 N,,,
70,Climbing Stairs,Int,DP,N,,"Question is asking how many ways can we climb N number of stairs. off rip we can climb either 1 step or 2 steps. in the dp solution, we create a array of N number of steps, plus 1. to create a list of how many steps it takes to get to N, including base step, which is 0. we start our loop from the 3 index, and on to n-1, and for our current i, we add the previous i-1 and i-2, because we can either take 1 step up from prev and 2 steps up from prev and we assign that to the next val in our, dp and we keep going up, we should be left with the sum of the total number of steps we can take at then end of our new DP list.",Easy,8/7,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Recursion,,,,,,,,,,,,
1342,Number of Steps to Reduce a Number to Zero,Int,Recursion,N,,"Have to call function inside of itself. In this case if number is even we /2 then we return the divided number and outside of the return we count 1, if odd we sub 1 and count +1 again. ithe final number will always result to 0 and when we get 0 we return 0. So the code will start with, if num == 0, because we will eventually get there, then the even/odd code next.",Easy,8/2,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Trees,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Heaps,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Linked Lists,,,,,,,,,,,,
206,Reverse Linked List,Linked List,LL Iteration,Y,,"When reversing a linked list we need keep track of 3 positions, prev,curr,next. We establish our curr and prev variables before we iterate though LL. then in linkedlist we reverse by shifting the curr pointer to prev. In this step there is a missing pointer between curr and next, to fix this we move our pointers up with prev now curr, and curr now curr.next. we then repeat the same process, with curr pointer being equal to prev. this connects the two nodes, and then we move on again. when this is done we return prev, will by our last curr, with all the pointers going reversed/",Easy,8/3,,,,
21,Merged Linked List,Linked List,LL Iteration,Y/N,,"The idea for this problem is to create a empty linked list, and its head as 2 different variables. Then we iterate through both LL while they are not None, and compare each value, we add the smaller value between the list into our dummy, and incriment list, for each iteration we must move the dummy up to populate dummy corretly(do this outside of loop) when we get to a point where one is empty, we must create 2 seperate if statements for each, saying is one is not empty, our dummy list is the rest of either list1 or list2. then we return our dummy.next to show entire list",Easy,8/3,,,,
2,add two numbers ,linked list ,LL Iteration,N,,"Problem is asking us to sum the two linked list and return their values. In this problem we start by creating a empty LL, LL head, and CARRY ( very important). we then iterate through both lists while they exisit and the if we have a carry. the carry is crucial because if we go through list and we still have a carry we need to assign that. in the loop we create 2 variables which equal to both list val of their nodes. and then another variable addidng both vals and carry. we then divide val by 10 to find the carry and % 10 to find the val . we update the curr.next to the ListNode(val) and then we incriment the curr to its next, and l1 and l2 to its next if exisit else NONE and we return Dummy.next",Medium,8/3,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Bit Manipulation,,,,,,,,,,,,
7,reverse integer,int,bit manipulation,N,,"the problem is asking to see if the reversed int, falls in the 32-bit integer range. We must know before hand to check if a value is in this range we have to use 2**31. our int has to be less than that. to start the problem we must determine if the number is pos or negative, we can do that by assigning a varible to 1 or -1 if our int is large or smaller than 0. then we reverse the interger by multiplying our int and 1 or -1, this ensures our negative values will turn into a interger. then we wrap this around a str method so we can apply [::-1] to reverse and wrap that around the int method to return it back into a int. we the return our new rev int with our 1 or -1 to return our number back to its original pos or neg value, and we multiply this by the (rev < 2**31) this checks if the number falls into the bit range, and if its true we return the rev numeber * 1 or -1 to ensure the correct output",Medium,8/3,,,,
136,Single Number,Array / Dict,"List/Dict Trav, bitwise Ops",Y/N,,"Solved with dict, return value ==1 and bitwise op, using compare variable of 0 and ^= for each num, this results in the same two numbers canceling out, and leaving the unique number",Easy,8/7,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Sorting Searching ,,,,,,,,,,,,
692,Top k freq words,dict/array,"counting, sorting",N,,"I was very close to solving this problem. We start with creating a dict of frequencies ( i got this 100%) then we have to sort the freq dict. we can do this with a lambda function. in this we start with the sorted method and in this we are starting with freq.keys() since the key is what we want to return, then we use the lambda method to isolate the word , key = lambda word : ... after this we are going to sort the values in desc order with a -dict[word] to sort values high to low then COMMA , word to sort the sorted values by words in alpha order if they are the same outside of the sorted method we slice it by [:k] to only return the values we want and return this ",Medium,8/4,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Graphs,,,,,,,,,,,,
463,Island Permiter,"Graphs , list of lists",graph traversal,N,,"The question is asking to return the permiter of islands (1) in the graph. to solve this problem we can check if the current island has water(0) or if its at the edge on all sides on island. if we have water or at the edge of the side at the current 1 then we add 1 to permiter, return permiter ",Easy,8/4,,,,
,,,,,,,,,,,,
67,,,,,,,,,,,,
